date,market_group,arrivals,index_2019
2020-04-01,Greater China,31,0.008972246093274216
2020-04-01,North Asia,25,0.0339172757644106
2020-04-01,Oceania,8,0.007405333228424446
2020-04-01,Other,856,0.049001295681651104
2020-04-01,Total,750,0.047080939877849025
2020-05-01,ASEAN,574,0.10581017366048669
2020-05-01,Americas,42,0.04214001018383579
2020-05-01,Europe,147,0.05450256369060217
2020-05-01,Greater China,25,0.007235682333285657
2020-05-01,North Asia,30,0.040700730917292725
2020-05-01,Oceania,17,0.015736333110401946
2020-05-01,Other,925,0.05295116647841971
2020-05-01,Total,880,0.05524163612334286
2020-06-01,ASEAN,1100,0.2027721098023264
2020-06-01,Americas,176,0.17658670934178808
2020-06-01,Europe,398,0.1475647642779569
2020-06-01,Greater China,186,0.05383347655964529
2020-06-01,North Asia,137,0.1858666711889701
2020-06-01,Oceania,66,0.061093999134501684
2020-06-01,Other,2279,0.13046022530196597
2020-06-01,Total,2171,0.13628362729974697
2020-07-01,ASEAN,2297,0.42342503292358524
2020-07-01,Americas,526,0.5277534608737531
2020-07-01,Europe,1263,0.4682771288519085
2020-07-01,Greater China,1295,0.3748083448641971
2020-07-01,North Asia,565,0.7665304322756796
2020-07-01,Oceania,158,0.14625533126138282
2020-07-01,Other,7582,0.4340278316101386
2020-07-01,Total,6843,0.4295664954454945
2020-08-01,ASEAN,2824,0.5205713073470634
2020-08-01,Americas,612,0.6140401483930359
2020-08-01,Europe,1674,0.6206618477419595
2020-08-01,Greater China,2509,0.7261730789685487
2020-08-01,North Asia,511,0.6932691166245527
2020-08-01,Oceania,178,0.16476866433244391
2020-08-01,Other,9516,0.5447387029282615
2020-08-01,Total,8912,0.5594471149218541
2020-09-01,ASEAN,3756,0.6923745858341255
2020-09-01,Americas,530,0.5317667951769754
2020-09-01,Europe,1538,0.5702377071846677
2020-09-01,Greater China,2717,0.7863739559814852
2020-09-01,North Asia,353,0.4789119337934777
2020-09-01,Oceania,218,0.20179533047456616
2020-09-01,Other,9888,0.5660336585282314
2020-09-01,Total,9500,0.5963585717860878
2020-10-01,ASEAN,6354,1.1712854415308926
2020-10-01,Americas,605,0.6070168133623965
2020-10-01,Europe,1711,0.634380180099458
2020-10-01,Greater China,3474,1.005470417033375
2020-10-01,North Asia,513,0.6959824986857056
2020-10-01,Oceania,286,0.26474066291617393
2020-10-01,Other,13855,0.7931226070902757
2020-10-01,Total,13399,0.8411166845643988
2020-11-01,ASEAN,6438,1.1867698571885248
2020-11-01,Americas,630,0.632100152757537
2020-11-01,Europe,1466,0.5435425739484544
2020-11-01,Greater China,4329,1.2529307528317446
2020-11-01,North Asia,763,1.0351552563298116
2020-11-01,Oceania,476,0.4406173270912545
2020-11-01,Other,15396,0.8813363882181079
2020-11-01,Total,14749,0.9258623763445271
2020-12-01,ASEAN,8796,1.6214395252920573
2020-12-01,Americas,797,0.7996568599170745
2020-12-01,Europe,1892,0.7014887789293831
2020-12-01,Greater China,8178,2.3669364048644046
2020-12-01,North Asia,712,0.9659640137704141
2020-12-01,Oceania,993,0.9191869869781844
2020-12-01,Other,26971,1.5439415255021167
2020-12-01,Total,24170,1.5172617557968147
2021-01-01,ASEAN,6748,1.2439147244964532
2021-01-01,Americas,829,0.8317635343428541
2021-01-01,Europe,2928,1.0856020849393413
2021-01-01,Greater China,6897,1.9961800421068474
2021-01-01,North Asia,556,0.7543202130004918
