market_group,market_share_2019,recovery_index
Africa,0.47586287745911005,84.4
Americas,5.036150062897537,96.8
Europe,11.157186507164072,95.1
Greater China,23.91580544706738,86.6
North Asia,8.005608492273833,78.8
Oceania,6.907853317305582,106.4
South Asia,8.964699800601705,86.4
Southeast Asia,34.653270496653306,83.0
West Asia,0.8835629985774751,116.3
