date,iso3,country,arrivals,index_2019,date_idx,quarter_label
2019-01-01,ARE,United Arab Emirates,16760,82.22740095670305,0,2019Q1
2019-01-01,AUS,Australia,262712,91.91068942113253,0,2019Q1
2019-01-01,BGD,Bangladesh,30175,88.11119384462647,0,2019Q1
2019-01-01,BRN,Brunei Darussalam,18054,99.46559418213873,0,2019Q1
2019-01-01,CAN,Canada,44759,129.20909622337854,0,2019Q1
2019-01-01,CHE,Switzerland,26132,106.66013612105998,0,2019Q1
2019-01-01,CHN,China,960340,105.90661461434968,0,2019Q1
2019-01-01,DEU,Germany,133269,140.0042546821201,0,2019Q1
2019-01-01,DNK,Denmark,11153,117.24881074404057,0,2019Q1
2019-01-01,EGY,Egypt,1004,77.49903512157469,0,2019Q1
2019-01-01,ESP,Spain,12551,76.76569978134222,0,2019Q1
2019-01-01,FIN,Finland,10968,142.55727051177902,0,2019Q1
2019-01-01,FRA,France,57035,107.20461636780573,0,2019Q1
2019-01-01,GBR,United Kingdom,188565,124.092454851017,0,2019Q1
2019-01-01,HKG,Hong Kong SAR,103332,84.6043942997736,0,2019Q1
2019-01-01,IDN,Indonesia,724777,93.20014685146975,0,2019Q1
2019-01-01,IND,India,299994,84.62495936157654,0,2019Q1
2019-01-01,IRL,Rep Of Ireland,5851,94.7837356228738,0,2019Q1
2019-01-01,IRN,Iran,2730,137.11702661978904,0,2019Q1
2019-01-01,ISR,Israel,6215,102.31715849693377,0,2019Q1
2019-01-01,ITA,Italy,28196,109.79323235076515,0,2019Q1
2019-01-01,JPN,Japan,220335,99.6643703325086,0,2019Q1
2019-01-01,KOR,South Korea,182113,112.79000631727588,0,2019Q1
2019-01-01,KWT,Kuwait,2358,97.99480519480518,0,2019Q1
2019-01-01,LKA,Sri Lanka,19688,79.75693741138343,0,2019Q1
2019-01-01,MMR,Myanmar,35095,89.99121755463386,0,2019Q1
2019-01-01,MUS,Mauritius,2661,81.27672571777642,0,2019Q1
2019-01-01,MYS,Malaysia,283199,92.79660530993749,0,2019Q1
2019-01-01,NLD,Netherlands,23935,96.26657818265915,0,2019Q1
2019-01-01,NOR,Norway,9154,107.91629826112585,0,2019Q1
2019-01-01,NZL,New Zealand,27908,72.94921811183647,0,2019Q1
2019-01-01,PAK,Pakistan,4705,94.22248923600681,0,2019Q1
2019-01-01,PHL,Philippines,160839,77.5758598860519,0,2019Q1
2019-01-01,RUS,Russian Federation,29493,146.9891227152095,0,2019Q1
